state,grade
Alabama,F
Alaska,F
Arizona,F
Arkansas,F
California,A
Colorado,C
Connecticut,A-
Delaware,B
Florida,F
Georgia,F
Hawaii,A-
Idaho,F
Illinois,B+
Indiana,D-
Iowa,C-
Kansas,F
Kentucky,F
Louisiana,F
Maine,F
Maryland,A-
Massachusetts,A-
Michigan,C
Minnesota,C+
Mississippi,F
Missouri,F
Montana,F
Nebraska,D
Nevada,D
New Hampshire,F
New Jersey,A-
New Mexico,F
New York,A-
North Carolina,D-
North Dakota,F
Ohio,D
Oklahoma,F
Oregon,C
Pennsylvania,C
Rhode Island,B+
South Carolina,F
South Dakota,F
Tennessee,D-
Texas,F
Utah,F
Vermont,F
Virginia,D
Washington,B
West Virginia,F
Wisconsin,C-
Wyoming,F